k,mog_random,mog_kmeans++
1,0.0037860870361328125,0.0004658699035644531
2,0.0024628639221191406,0.0004658699035644531
3,0.0027451515197753906,0.0004658699035644531
4,0.002446889877319336,0.0004658699035644531
5,0.0024809837341308594,0.0004658699035644531
6,0.0024759769439697266,0.0004658699035644531
7,0.0023992061614990234,0.0004658699035644531
8,0.0022649765014648438,0.0004658699035644531
9,0.0023012161254882812,0.0004658699035644531
10,0.0022149085998535156,0.0004658699035644531
11,0.0021729469299316406,0.0004658699035644531
12,0.002295970916748047,0.0004658699035644531
13,0.0021619796752929688,0.0004658699035644531
14,0.002161264419555664,0.0004658699035644531
15,0.002290964126586914,0.0004658699035644531
16,0.002129077911376953,0.0004658699035644531
17,0.0021691322326660156,0.0004658699035644531
18,0.0021369457244873047,0.0004658699035644531
19,0.0025069713592529297,0.0004658699035644531
20,0.002584695816040039,0.0004658699035644531
21,0.0023958683013916016,0.0004658699035644531
22,0.0021500587463378906,0.0004658699035644531
23,0.0022957324981689453,0.0004658699035644531
24,0.0021622180938720703,0.0004658699035644531
25,0.002154111862182617,0.0004658699035644531
26,0.002192974090576172,0.0004658699035644531
27,0.0021419525146484375,0.0004658699035644531
28,0.0026290416717529297,0.0004658699035644531
29,0.002477884292602539,0.0004658699035644531
30,0.002393960952758789,0.0004658699035644531
31,0.0021309852600097656,0.0004658699035644531
32,0.0021572113037109375,0.0004658699035644531
33,0.002292156219482422,0.0004658699035644531
34,0.002221822738647461,0.0004658699035644531
35,0.0021729469299316406,0.0004658699035644531
36,0.0021169185638427734,0.0004658699035644531
37,0.0023889541625976562,0.0004658699035644531
38,0.0021958351135253906,0.0004658699035644531
39,0.002286195755004883,0.0004658699035644531
40,0.0022301673889160156,0.0004658699035644531
41,0.002146005630493164,0.0004658699035644531
42,0.002172231674194336,0.0004658699035644531
43,0.0021131038665771484,0.0004658699035644531
44,0.002354145050048828,0.0004658699035644531
45,0.0022339820861816406,0.0004658699035644531
46,0.0023839473724365234,0.0004658699035644531
47,0.002379894256591797,0.0004658699035644531
48,0.0021829605102539062,0.0004658699035644531
49,0.002279996871948242,0.0004658699035644531
50,0.002148151397705078,0.0004658699035644531
51,0.002246856689453125,0.0004658699035644531
52,0.002165079116821289,0.0004658699035644531
53,0.002147197723388672,0.0004658699035644531
54,0.0021398067474365234,0.0004658699035644531
55,0.002248048782348633,0.0004658699035644531
56,0.002141237258911133,0.0004658699035644531
57,0.002321958541870117,0.0004658699035644531
58,0.0022928714752197266,0.0004658699035644531
59,0.002110004425048828,0.0004658699035644531
60,0.0021331310272216797,0.0004658699035644531
61,0.0021300315856933594,0.0004658699035644531
62,0.0021538734436035156,0.0004658699035644531
63,0.002210855484008789,0.0004658699035644531
64,0.0022058486938476562,0.0004658699035644531
65,0.00215911865234375,0.0004658699035644531
66,0.002126932144165039,0.0004658699035644531
67,0.0022590160369873047,0.0004658699035644531
68,0.0022420883178710938,0.0004658699035644531
69,0.00232696533203125,0.0004658699035644531
70,0.0022430419921875,0.0004658699035644531
71,0.0021958351135253906,0.0004658699035644531
72,0.0021190643310546875,0.0004658699035644531
73,0.0020928382873535156,0.0004658699035644531
74,0.0021178722381591797,0.0004658699035644531
75,0.0020868778228759766,0.0004658699035644531
76,0.002210855484008789,0.0004658699035644531
77,0.002513885498046875,0.0004658699035644531
78,0.002496004104614258,0.0004658699035644531
79,0.002432107925415039,0.0004658699035644531
80,0.0022258758544921875,0.0004658699035644531
81,0.0021812915802001953,0.0004658699035644531
82,0.002331972122192383,0.0004658699035644531
83,0.0021789073944091797,0.0004658699035644531
84,0.002176046371459961,0.0004658699035644531
85,0.0022821426391601562,0.0004658699035644531
86,0.0021169185638427734,0.0004658699035644531
87,0.0021500587463378906,0.0004658699035644531
88,0.002092123031616211,0.0004658699035644531
89,0.002109050750732422,0.0004658699035644531
90,0.0021729469299316406,0.0004658699035644531
91,0.0020859241485595703,0.0004658699035644531
92,0.0021500587463378906,0.0004658699035644531
93,0.002081155776977539,0.0004658699035644531
94,0.0020890235900878906,0.0004658699035644531
95,0.0020809173583984375,0.0004658699035644531
96,0.0020880699157714844,0.0004658699035644531
97,0.0021419525146484375,0.0004658699035644531
98,0.002092123031616211,0.0004658699035644531
99,0.002134084701538086,0.0004658699035644531
