k,kmeans++_lloyd,kmeans++_byhand,kmeans++_elkan
1,0.041899919509887695,0.0006098747253417969,0.01990795135498047
2,0.02683401107788086,0.0005481243133544922,0.01458883285522461
3,0.02366018295288086,0.00045609474182128906,0.011319875717163086
4,0.028463125228881836,0.0005478858947753906,0.0125732421875
5,0.024412870407104492,0.0005099773406982422,0.020847082138061523
6,0.029737234115600586,0.0006301403045654297,0.0152130126953125
7,0.039173126220703125,0.0009341239929199219,0.014789819717407227
8,0.026525020599365234,0.0004999637603759766,0.012465953826904297
9,0.0251162052154541,0.0004630088806152344,0.011951684951782227
10,0.02576303482055664,0.00046706199645996094,0.010772943496704102
11,0.02358722686767578,0.00047087669372558594,0.00869894027709961
12,0.02769017219543457,0.0004680156707763672,0.01171112060546875
13,0.02239990234375,0.0004601478576660156,0.01382899284362793
14,0.022623777389526367,0.00045990943908691406,0.014829158782958984
15,0.026997089385986328,0.0005068778991699219,0.009619951248168945
16,0.02366328239440918,0.0004799365997314453,0.013094186782836914
17,0.029057979583740234,0.000469207763671875,0.015544891357421875
18,0.026773929595947266,0.0005450248718261719,0.012076854705810547
19,0.02844691276550293,0.0005388259887695312,0.012159109115600586
20,0.027971267700195312,0.0006258487701416016,0.011567115783691406
21,0.0286409854888916,0.0004968643188476562,0.008782148361206055
22,0.023715734481811523,0.0004761219024658203,0.013861894607543945
23,0.026225805282592773,0.00046706199645996094,0.012910127639770508
24,0.025946855545043945,0.0004601478576660156,0.008926868438720703
25,0.023400068283081055,0.000453948974609375,0.010478973388671875
26,0.029172897338867188,0.0005052089691162109,0.014980792999267578
27,0.02441716194152832,0.0015208721160888672,0.01390695571899414
28,0.025031089782714844,0.0005462169647216797,0.013688087463378906
29,0.02961587905883789,0.0004980564117431641,0.012186050415039062
30,0.0316007137298584,0.0005497932434082031,0.013340234756469727
31,0.027875185012817383,0.0005261898040771484,0.013972997665405273
32,0.02454400062561035,0.0004909038543701172,0.014535903930664062
33,0.024709701538085938,0.0005218982696533203,0.012163162231445312
34,0.024821043014526367,0.0005679130554199219,0.013926029205322266
35,0.026171207427978516,0.0010960102081298828,0.012150049209594727
