data,idle_time%,interrupt_time%,priviledged_time%,processor_time%,user_time%,Interrupt/sec,state
05/24/2022 22:54:27.058,98.29086591,0.939355528,1.252474037,1.993906604,0.626237019,228.651816,working
05/24/2022 22:54:32.060,96.93850919,0.312368462,1.561842308,2.541039968,1.249473847,252.8937543,working
05/24/2022 22:54:37.057,98.39174792,0.312707287,0.625414575,1.497204467,0.312707287,191.7291641,working
05/24/2022 22:54:42.067,74.58891819,3.118501106,9.979203539,25.46782357,15.90435564,755.4181242,working
05/24/2022 22:54:47.057,97.80671203,1.565589346,2.504942954,2.62034267,0,323.2375991,working
05/24/2022 22:54:52.068,98.97223327,0.311842412,0.935527235,1.145955501,0.311842412,161.4592371,working
05/24/2022 22:54:57.061,98.21670772,0.312910996,0.312910996,1.12012524,0.938732988,251.3296087,working
05/24/2022 22:55:02.051,94.5646664,1.87888738,5.323514245,6.055630979,0.313147897,307.2391804,working
05/25/2022 07:23:05.594,90.36818729,0,2.820235511,9.439104141,6.580549526,673.2908836,working
05/25/2022 07:23:10.602,93.88964823,0,2.49590457,7.027554766,4.367832998,254.1770342,working
05/25/2022 07:23:15.603,90.91440562,0,0.624912812,8.762729424,8.436322964,501.3446114,working
05/25/2022 07:23:20.604,33.41611089,0,4.686946659,66.56644717,61.8676959,1736.391425,working
05/25/2022 07:23:25.589,38.48482303,0.313439541,2.820955872,60.19317826,57.35943606,1491.871497,working
05/25/2022 07:23:30.599,36.57655349,0,2.18314175,63.19846764,60.81609162,1405.01784,working
05/25/2022 07:23:35.616,46.93915765,0,1.24579775,53.59403382,52.32350549,1071.380363,working
05/25/2022 07:23:40.604,38.90168396,0,0.939684127,59.59358256,58.88687193,1184.353551,working
05/25/2022 07:23:45.595,45.92617936,0,1.878517712,52.09779834,50.09380566,1105.067493,working
05/25/2022 07:23:50.604,39.57576688,0,4.0548604,59.13948366,55.2084839,1168.604286,working
05/25/2022 07:23:55.604,49.6800212,0.312520314,1.875121883,50.3092701,48.44064864,1048.659983,working
05/25/2022 07:24:00.594,38.45857034,0,2.8180183,60.86085695,57.92593172,1221.397261,working
05/25/2022 07:24:05.606,47.88638229,0,2.806006396,49.80366336,47.07855176,1140.952352,working
05/25/2022 07:24:10.605,47.05700546,0,1.875196596,52.49501958,50.63030808,1052.303462,working
05/25/2022 07:24:15.593,49.08003933,0,1.566164763,49.56949463,47.92464174,1056.289505,working
05/25/2022 07:24:20.600,45.65578568,0,3.12055452,54.12784855,50.86503868,1215.469342,working
05/25/2022 07:24:25.594,48.07433202,0,4.06777672,50.87377346,46.93588523,1080.777992,working
05/25/2022 07:24:30.613,56.59581411,0,1.867959586,41.15927305,39.2271513,957.0058497,working
05/25/2022 07:24:35.609,47.05506356,0,1.563759233,54.3382304,52.85506207,1075.266299,working
05/25/2022 07:24:40.605,44.86351443,0,1.876261523,52.15533116,50.34635087,1095.335364,working
05/25/2022 07:24:45.601,37.85435191,0,2.814741266,60.28087325,57.23307241,1194.358927,working
05/25/2022 07:24:50.603,44.68989029,0,2.811770177,54.07442044,51.236701,1107.111952,working
05/25/2022 07:24:55.595,49.25346821,0,2.190941926,49.295344,47.26174726,1064.678231,working
05/25/2022 07:25:00.610,40.49589247,0,2.181036716,56.69084236,54.52591789,1174.098697,working
05/25/2022 07:25:05.609,49.69405834,0.312524164,3.125241644,48.12098871,45.00347967,1065.900173,working
05/25/2022 07:25:10.600,43.34067996,0,2.191466115,56.48374428,54.16051971,1168.707296,working
05/25/2022 07:25:15.602,44.80475639,0,2.499059404,52.51787132,49.98118808,1123.787795,working
05/25/2022 07:25:20.592,40.74559147,0,2.191948252,58.97925414,56.99065455,1161.322785,working
05/25/2022 07:25:25.599,48.07182569,0,4.680618835,51.32156412,46.49414709,1062.465014,working
05/25/2022 07:25:30.589,46.20368266,0,3.757601026,52.40372034,48.84881333,1117.256501,working
